RBD;NOMBRE;DEPENDENCIA;DIRECCIÓN;REGION;COMUNA;DIRECTOR/A;E- MAIL DIRECTOR/A;TELEFONO;E- MAIL ESTABLECIMIENTO ;Discapacidad Auditiva;Discapacidad Intelectual;Discapacidad Visual; Trastornos Específicos del Lenguaje; Transtornos Motores; Autismo; Discapacidad Graves Alteraciones en la Capacidad de Relación y Comunicación; Discapacidad Múltiple; Sordoceguera
18207;ESCUELA ESPECIAL DE LENGUAJE PINTO Y APRENDO;Particular Subvencionado;VILLA PRIMERA ;16;PINTO;KAREN VERÓNICA PARRA MIERES;KARENPARRA.M@HOTMAIL.COM;42-2428118;PINTOYAPRENDO@HOTMAIL.COM;;;;ü;;;;;
18208;ESCUELA ESPECIAL DE LENGUAJE ALTO DEL LAJA;Particular Subvencionado;LOS GUINDOS 321 ;8;LAJA;ESTELA NATALY MARTÍNEZ MONTOYA;ESTELA.MARTINEZ.MONTOYA@GMAIL.COM;43-246304;UTP.ALTODELLAJA@GMAIL.COM;;;;ü;;;;;
18210;ESCUELA ESPECIAL DE LENGUAJE SAN FRANCISCO DE ASIS;Particular Subvencionado;LONCONAO 429 CERRO SAN FRANCISCO S/N;8;TALCAHUANO;VICTORIA ELIZABETH VENEGAS ALVIAL;SANFRANCISCODEASIS.ESCUELA@GMAIL.COM;41-3183537;SANFRANCISCODEASIS.ESCUELA@GMAIL.COM;;;;ü;;;;;
18211;ESCUELA ESPECIAL DE LENGUAJE MIS DULCES PALABRAS;Particular Subvencionado;PASAJE LAUTARO 2009 VILLA ICALMA SAN PEDRO DE LA PAZ S/N;8;SAN PEDRO DE LA PAZ;CARMEN GLORIA MOYA RODRÍGUEZ;CARMENGLORIA89@GMAIL.COM;41-2641762;MISDULCESPALABRAS@GMAIL.COM;;;;ü;;;;;
18212;ESCUELA DE LENGUAJE EDUPLAY;Particular Subvencionado;O HIGGINS 1157;8;CONCEPCIÓN;LIBORIA ANGELA AMÉSTICA ALTAMIRANO;ESCUELAEDUPLAY@GMAIL.COM;41-2912527;ESCUELAEDUPLAY@GMAIL.COM;;;;ü;;;;;
18213;ESCUELA ESPECIAL DE LENGUAJE ADONAY;Particular Subvencionado;ANÍBAL PINTO 95;8;MULCHÉN;JESSICA LOREN BELLO CATALÁN;ESCUELAADONAY@GMAIL.COM;43-561015;JBCLOREN@GMAIL.COM;;;;ü;;;;;
18214;JARDIN INFANTIL Y ESCUELA DE LENGUAJE PRIMEROS PASOS;Particular Subvencionado;CALLE SANTA BLANCA N° 240 CHILLÁN 240;16;CHILLÁN;MARGARITA DEL PILAR SALINAS GONZÁLEZ;GMISTRAL49@HOTMAIL.CL;42-221885;GMISTRAL49@HOTMAIL.CL;;;;ü;;;;;
18220;COLEGIO NUEVA ESPERANZA;Particular Subvencionado;IGNACIO CARRERA PINTO 184;16;YUNGAY;SANDRA DIÓMEDES DEL CARMEN CORREA AEDO;MANUEL.HERRERA@CBNE.CL;42-2681290;NUEVAESPERANZAYUNGAY@GMAIL.COM;;;;ü;;;;;
18222;ESCUELA ESPECIAL DE LENGUAJE PASITOS;Particular Subvencionado;AV. NIEVES VÁSQUEZ 266 ;8;LOS ÁNGELES;JOHANA ALEJANDRA MUÑOZ MERINO;JOHANA7728@GMAIL.COM;43-971827;ESC.LENGUAJE.PASITOS@GMAIL.COM;;;;ü;;;;;
18224;ESCUELA ESPECIAL DE LENGUAJE GOLDEN HOUSE;Particular Subvencionado;AVENIDA LOS LAGOS Nº 461 PORTAL SAN PEDRO 461;8;SAN PEDRO DE LA PAZ;LORENA CECILIA CANDIA GUTIÉRREZ;LCANDIAGUTIERREZ@GMAIL.COM;41-2392517;ESCUELAGOLDENHOUSE@GMAIL.COM;;;;ü;;;;;
18225;ESCUELA ESPECIAL DE LENGUAJE CANTO DE LUNA;Particular Subvencionado;MANUEL ANTONIO MATTA 174 174;16;SAN CARLOS;ALEJANDRA AURORA HERRERA MONTENEGRO;ALHMONTENEGRO@HOTMAIL.COM;42-2330960;ESCCANTODELUNA@HOTMAIL.COM;;;;ü;;;;;
18226;ESCUELA ESPECIAL DE LENGUAJE PALABRAS MÁGICAS;Particular Subvencionado;MANUEL RODRÍGUEZ-LORD COCHRANE 570-389;8;LOS ÁNGELES;DARWIN GÓMEZ SEGUEL;ESCUELA_PALABRASMAGICAS@HOTMAIL.COM;43-2312021;ESCUELA_PALABRASMAGICAS@HOTMAIL.COM;;;;ü;;;;;
18227;ESCUELA ESPECIAL DE LENGUAJE ALTO TUCAPEL;Particular Subvencionado;HUILLINCO ;8;CAÑETE;CECILIA GABRIELA VEGA RÍOS;CECILIAVEGA@ALTOTUCAPEL.CL;41-2612330;JAAGUAYORIOS@GMAIL.COM;;;;ü;;;;;
18230;ESCUELA ESPECIAL DE LENGUAJE EL TRENCITO;Particular Subvencionado;ARTURO PRAT 503 S/N;8;YUMBEL;NATALIA ALEJANDRA RIVERA TOLOZA;N.RIVERA.TOLOZA@GMAIL.COM;9-93636531;ALEJANDROARRIAGADAM@GMAIL.COM;;;;ü;;;;;
18231;ESCUELA ESPECIAL DE LENGUAJE CUMBRES DE SAN IGNACIO;Particular Subvencionado;LOS CARRERAS 44;16;SAN IGNACIO;SANDRA DEL PILAR CORTÉS JIMÉNEZ;SANDRACORTESJIMENEZ@HOTMAIL.COM;09-61565211;PALABRASDEVIDA_SANIGNACIO@HOTMAIL.COM;;;;ü;;;;;
18233;ESCUELA ESPECIAL DE LENGUAJE ARBOLIRIS;Particular Subvencionado;WENNMAPU 5586 ;8;CORONEL;CAROLINE IVETTE TRONCOSO SOTO;ESCUELA.ARBOLIRIS@GMAIL.COM;41-3168343;LORE-82@HOTMAIL.COM;;;;ü;;;;;
18235;ESCUELA DE LENGUAJE ALTUE;Particular Subvencionado;MONSEÑOR ALARCÓN  ;8;TALCAHUANO;PATRICIA DEL CARMEN HENRÍQUEZ CARRIÓN;LENGUALTUE@GMAIL.COM;41-2592008;LENGUALTUE@HOTMAIL.COM;;;;ü;;;;;
18236;ESCUELA ESPECIAL DIFERENCIAL Y DE LENGUAJE MAISON DE L`ENFANCE;Particular Subvencionado;HERAS 2234 S/N;8;CONCEPCIÓN;GREISY ELIZABETH CISTERNAS NEIRA;MAISONHERAS@GMAIL.COM;41-2310823;ESCUELAMAISON@GMAIL.COM;;ü;;;;;;;
18238;ESCUELA DE LENGUAJE ALBORADA;Particular Subvencionado;CALLE LAUTARO 365 MICHAIHUE SAN PEDRO DE LA PAZ S/N;8;SAN PEDRO DE LA PAZ;NATALIA CAROLINA ARRIAGADA ARROYO;ESCUELA.LAALBORADA@GMAIL.COM;41-2276850;ESCUELA.LAALBORADA@GMAIL.COM;;;;ü;;;;;
18239;ESCUELA ESPECIAL DE LENGUAJE MANQUIMAVIDA;Particular Subvencionado;MANQUIMÁVIDA 799;8;CHIGUAYANTE;EVELYN ALEXANDRA VILCHES SANDOVAL;DIRECTORAMANQUIMAVIDA@GMAIL.COM;41-2354067;ESCUELADELENGUAJEMANQUIMAVIDA@GMAIL.COM;;;;ü;;;;;
18244;ESCUELA DIFERENCIAL CENTRO DE ESTUDIO E INCLUSION LABORAL BIOCOR;Particular Subvencionado;AVENIDA  LOS MOLINEROS 514 HUERTOS FAMILIARES LAGUNILLAS S/N;8;CORONEL;CECILIA ISABEL REYES OLATE;CEILBIOCOR.DIRECTORA@GMAIL.COM;44-2918969;YMARDONES@GMAIL.COM;;ü;;;;;;;
18245;ESCUELA ESPECIAL DE LENGUAJE SENDERO MÁGICO;Particular Subvencionado;J.A PALAZUELOS 263;16;COELEMU;JOHANA AMELIA OPAZO OPAZO;JOPAZO.O@GMAIL.COM;42-510043;ESCUELASENDEROMAGICO@GMAIL.COM;;;;ü;;;;;
18250;JARDÍN INFANTIL Y ESCUELA ESPECIAL ARCOIRIS;Particular Subvencionado;SAN MARTIN 635;8;HUALQUI;JOHANNA FRANCESCA CIFUENTES JARA;FRANCESCA.CIFUENTESJARA@GMAIL.COM;41-2781277;FRANCESCA.CIFUENTESJARA@GMAIL.COM;;;;ü;;;;;
18252;ESCUELA ESPECIAL DE LENGUAJE MI ANGEL;Particular Subvencionado;BAQUEDANO 117;16;EL CARMEN;PATRICIA ALEJANDRA CHANDÍA RUIZ;ESCUELAMIANGEL@GMAIL.COM;9-97012435;ESCUELAMIANGEL@GMAIL.COM;;;;ü;;;;;
18253;ESCUELA ESPECIAL DE LENGUAJE JUAN PABLO II;Particular Subvencionado;SANTIAGO BARRERA 1288;8;LOS ÁNGELES;YOSSELIN ROCÍO OLIVARES FUENTES;YOSSELIN.OLIVARES.FUENTES@GMAIL.COM;43-2317258;MEZA.JUANA@GMAIL.COM;;;;ü;;;;;
18254;ESCUELA ESPECIAL DE LENGUAJE SANTA CATALINA;Particular Subvencionado;SIMPSON 369;8;TALCAHUANO;ANA MARÍA ARAVENA CONCHA;SANTACATALINA.ESCUELA@GMAIL.COM;41-3129518;SANTACATALINA.ESCUELA@GMAIL.COM;;;;ü;;;;;
18255;ESCUELA ESPECIAL DE LENGUAJE EFRAIN AEDO;Particular Subvencionado;LOS ROBLES 3554  LAGUNILLAS CORONEL 3554;8;CORONEL;VIVIANA YENNY RAMÍREZ BARRIGA;VIVIRAMBARRIGA@GMAIL.COM;41-2716995;EFRAINAEDO@GMAIL.COM;;;;ü;;;;;
19630;ESCUELA ESPECIAL DE LENGUAJE FAROLITO DORADO;Particular Subvencionado;YOBILO 894;8;CORONEL;LESLIE VANESSA ROXANA MARDONES MUÑOZ;LESSMARD@GMAIL.COM;41-2710673;FAROLITO.UTP@GMAIL.COM;;;;ü;;;;;
19907;ESC. ESPECIAL RETARDO MENTAL CLARET;Particular Subvencionado;MATTA  442 442;9;TEMUCO;JUAN EDUARDO DENIS ALMONACID;DIRECTORESCUELAESPECIALCLARET@INSTITUTOCLARET.CL;45-2550418;CLARETESPECIAL@GMAIL.COM;;ü;;;;;;;
19914;ESC.ESP.RET.MENTAL FEYENTUN;Particular Subvencionado;CHORRILLOS 825;9;VILCÚN;EMMA JEANNETTE MARTY BECERRA;EMMAMARTY@GMAIL.COM;45-2562182;FEYENTUN@VILCUN.CL;;ü;;;;;;;
19918;ESCUELA ESPECIAL ERICO HORNUNG;Particular Subvencionado;AVENIDA SAAVEDRA NORTE 46;9;COLLIPULLI;LUZ IRENE BELTRÁN MORAGA;LUZIRENE2000@YAHOO.ES;45-2886509;ESCUELA_F835@HOTMAIL.COM;;ü;;;;;;;
19926;ESCUELA ESPECIAL RETARDO MENTAL;Particular Subvencionado;LOS NOGALES S/N LAS QUILAS S/N;9;TEMUCO;CARMEN GLORIA GARCÍA CARRASCO;CARMENGAR2010@GMAIL.COM;45-238987;ESCUELAESPECIALCEADE@GMAIL.COM;;ü;;;;;;;
19931;ESCUELA ESPECIAL DAME LA MANO;Particular Subvencionado;CHACABUCO ESQ. MATTA S/N S/N;9;GALVARINO;DAYANNE LISETT BERTON SUÁREZ;DBERTONSUAREZ@GMAIL.COM;45-513598;ESCUELAESPECIAL@GALVARINOCHILE.CL;;ü;;;;;;;
19945;ESCUELA ESPECIAL TULIO MORA ALARCON;Particular Subvencionado;CONTULMO 960 PUREN/REUBICACION CALLE IMPERIAL S/N HASTA  2016 960;9;PURÉN;MARÍA ELISA MORALES JIMÉNEZ;MACA1711@HOTMAIL.COM;45-463282;ESCUELATULIOMORA@GMAIL.COM;;ü;;;;;;;
19954;COLEGIO ESPECIAL DE TRASTORNOS DE LA COMUNICACION ORAL Nº 34, DOCKSTA;Particular Subvencionado;DIEGO PORTALES/ ALCALDE FLOODY BUXTON 387/1103;9;CARAHUE;VERÓNICA ROSA RIQUELME MUÑOZ;ESCUELA.DOCKSTA@GMAIL.COM;45-2651783;ESCUELA.DOCKSTA@GMAIL.COM;;;;ü;;;;;
19960;COLEGIO ANTUMALEN;Particular Subvencionado;VICUNA MACKENNA 29;9;TEMUCO;MARCELA ANDREA SEGUEL CID;COLEGIOANTUMALEN@HOTMAIL.COM;45-2316029;COLEGIOANTUMALEN@HOTMAIL.COM;;;;ü;;;;;
19964;ESC. ESPECIAL PART. ALENKURA;Particular Subvencionado;FUENTES 498;9;PADRE LAS CASAS;JORGE JAVIER LIZAMA TRINCADO;JORGEJAVIERLT@GMAIL.COM;45-2336557;ESCUELA.ALENKURA@GMAIL.COM;;ü;;;;;;;
19969;CENTRO EDUCACIONAL ESPECIAL INCLUSIVO SAN CRISTOBAL;Particular Subvencionado;LAS HERAS 161;9;TEMUCO;JACQUELINE PATRICIA ATALA AGUAD;JACKYATALA@GMAIL.COM;45-2238622;CENTROINCLUSIVO.SANCRISTOBAL@GMAIL.COM;ü;ü;;;;;;;
19973;ESCUELA ESPECIAL HABLAARTE;Particular Subvencionado;VALPARAISO 725;9;TEMUCO;MARCO ANTONIO ESCALONA GATICA;ESCALONAGATICA@GMAIL.COM;45-2440010;HABLAARTE@YAHOO.COM;;;;ü;;;;;
19984;COLEGIO ESPECIAL DE LENGUAJE HOLANDA;Particular Subvencionado;FUENTES 485 485;9;PADRE LAS CASAS;MARCELA ELIZABETH BRUNO LOBOS;COLEGIOHOLANDA@YAHOO.COM;45-335667;COLEGIOHOLANDA@YAHOO.COM;;;;ü;;;;;
20002;ESCUELA DE LA COMUNICACION ICALMA;Particular Subvencionado;RECREO 495;9;TEMUCO;GLADYS MARILÚ FERNÁNDEZ VENEGAS;GLADYSFO@GMAIL.COM;45-366245;GLADYSFO@GMAIL.COM;;;;ü;;;;;
20030;ESC.ESPEC.ESDELENG TRAST.DE LA COMUNIC..;Particular Subvencionado;ALEJANDRO GOROSTIAGA 30;9;NUEVA IMPERIAL;MARÍA FERNANDA IGAYMAN NORAMBUENA;FERNANDA.IGAYMAN@GMAIL.COM;9-76672004;ESDELENG@GMAIL.COM;;;;ü;;;;;
20058;ESCUELA ESPECIAL LAS LILAS DE TRAIGUEN ;Particular Subvencionado;AV. SUIZA   1324 TRAIGUÉN S/N;9;TRAIGUÉN;MARÍA FERNANDA TORRES AGUILAR;FDA.TORRESAGUILAR@GMAIL.COM;45-2885667;ESCUELALASLILASTRAIGUEN@GMAIL.COM;;ü;;;;;;;
20097;ESCUELA ESPECIAL ALFONSO RECART;Particular Subvencionado;CALLE NUEVA 101 15;9;VILLARRICA;GLADYS YANETT LUCILA CRISTENSEN MANCILLA;YANECITA40@HOTMAIL.COM;45-415980;ESCUELAALFONSORECART@YAHOO.ES;;;;ü;;;;;
20155;ESCUELA ESP. DE LENGUAJE ANTUMAPU;Particular Subvencionado;G.CRUZ 632 S/N;9;TEMUCO;NINOSCA CARMEN BRAVO VILLA;NBRAVOV@GMAIL.COM;45-984931;ANTUMAPULENGUAJE@GMAIL.COM;;;;ü;;;;;
20203;ESCUELA ESPECIAL DE LENGUAJE CRE-SER;Particular Subvencionado;LOS CLAVELES 1435 S/N;9;TEMUCO;CLAUDIA MABEL TAPIA GÓMEZ;CLAUDIATAPIA.EDUC@GMAIL.COM;45-911382;CLAUDIA.TAPIA.G@GMAIL.COM;;;;ü;;;;;
20204;ESCUELA ESPECIAL RUCA MAHUIDA;Particular Subvencionado;MANUEL ANTONIO MATTA 350 S/N;9;VILLARRICA;CAROLINA ALEJANDRA GALLARDO ROJAS;CALU24@HOTMAIL.COM;45-2410097;CALU24@HOTMAIL.COM;;;;ü;;;;;
20206;ESCUELA ESP.LENGUAJE ANDALUE;Particular Subvencionado;JOSE MIGUEL CARRERA 5;9;LAUTARO;ROLANDO ARIEL MUÑOZ MOSQUEIRA;ESCUELALENGUAJEANDALUE@GMAIL.COM;45-2531633;ESCUELALENGUAJEANDALUE@GMAIL.COM;;;;ü;;;;;
20223;ESCUELA ESPECIAL LIWEN;Particular Subvencionado;DINAMARCA728 728;9;TEMUCO;MARCELA VIVIANA FUENTES CARES;ESCUELALIWEN@GMAIL.COM;45-989283;ESCUELALIWEN@GMAIL.COM;;ü;;;;;;;
20225;ESCUELA DE LENGUAJE MANANTIAL;Particular Subvencionado;AVDA PRIETO NORTE 404;9;TEMUCO;MARÍA PAZ VIDAL ECHEVERRÍA;MARIPAZVIDAL@GMAIL.COM;45-2989130;ESCUELA_MANANTIAL@LIVE.CL;;;;ü;;;;;
20228;ESCUELA ESPECIAL DE LENGUAJE ARCO IRIS;Particular Subvencionado;JOSE LUIS OSORIO 331 S/N;9;ANGOL;KARLA VALESKA ANDREA GARRIDO FUENTES;ESC_ARCOIRIS@HOTMAIL.COM;45-716694;ESC_ARCOIRIS@HOTMAIL.COM;;;;ü;;;;;
20237;ESCUELA ESPECIAL DE LENGUAJE HABLAPALABRAS;Particular Subvencionado;FRANCIA 305;9;TEMUCO;XIMENA PILAR DIETZ PÉREZ;DIRECTORAHABLAPALABRAS@GMAIL.COM;45-2486251;HABLAPALABRAS@HOTMAIL.COM;;;;ü;;;;;
20239;ESCUELA ESPECIAL DE LENGUAJE VICTORIA;Particular Subvencionado;CONFEDERACIÓN SUIZA 651;9;VICTORIA;GUELDI FABIOLA URIBE DE LA GUARDA;GUELDIU@HOTMAIL.COM;45-2844942;ESCUELALENGUAJEVICTORIA@HOTMAIL.COM;;;;ü;;;;;
20240;ESCUELA ESPECIAL DE LENGUAJE CAPULLITO;Particular Subvencionado;SARGENTO  ALDEA  298 298;9;CURACAUTÍN;MARÍA GIOCONDA NORAMBUENA FUENTES;CAPULLITOLENCU@HOTMAIL.COM;45-882485;CAPULLITOLENCU@HOTMAIL.COM;;;;ü;;;;;
20242;ESCUELA ESPECIAL DE LENGUAJE COLEN;Particular Subvencionado;MALLECO 373;9;RENAICO;NATALIA MARIBEL GONZÁLEZ RIQUELME;NAGONZALEZ00@GMAIL.COM;45-774414;NAGONZALEZ00@GMAIL.COM;;;;ü;;;;;
20243;ESCUELA ESPECIAL DE LENGUAJE PEKES;Particular Subvencionado;AVENIDA PRIETO NORTE ;9;TEMUCO;MARÍA LORETO NÚÑEZ ROCO;LORETONU@YAHOO.ES;45-2409640;PEKES@TELSUR.CL;;;;ü;;ü;;;
20246;ESCUELA ESPECIAL DE LENGUAJE ALEMANIA;Particular Subvencionado;AVENIDA LUIS DURAND NRO. 03751 ;9;TEMUCO;CARLOS ANDRÉS GAETE JARA;ESCUELALENGUAJEALEMANIA@GMAIL.COM;45-2898721;ESCUELALENGUAJEALEMANIA@GMAIL.COM;;;;ü;;;;;
20247;ESC. ESPECIAL LENGUAJE STA. PATRICIA;Particular Subvencionado;RAMON FREIRE 1057;9;LAUTARO;NATHALY EDRISY CORONADO ESCOBAR;NATHYC75@HOTMAIL.COM;45-2533612;ESCUELASANTAPATRICIA@GMAIL.COM;;;;ü;;;;;
20250;ESCUELA ESPECIAL DE LENGUAJE RAICES DEL SUR;Particular Subvencionado;CALLEJÓN MASSMANN 379 ;9;TEMUCO;MARIANELA LILIBETH CASTILLO CONTRERAS;MCASTILLO@ESCUELARAICESDELSUR.CL;45-2529935;CONTACTO@ESCUELARAICESDELSUR.CL;;;;ü;;;;;
20252;ESCUELA ESPECIAL DE LENGUAJE WILEF;Particular Subvencionado;GALILEO 1991/ LOCAL ANEXO: GALILEO NRO. 2036-2040 S/N;9;TEMUCO;GABRIELA SOLEDAD REBOLLEDO SOTO;SOLER137@HOTMAIL.COM;45-250861;ESCUELAWILEF@HOTMAIL.COM;;;;ü;;;;;
20257;ESCUELA DE LENGUAJE SUYAI;Particular Subvencionado;GENERAL URRUTIA 36;9;NUEVA IMPERIAL;CAROLINA ANGÉLICA BRAVO JARA;DIRECCIONGENERAL@ESCUELASUYAI.CL;45-2612941;SUYAIESCUELAS@GMAIL.COM;;;;ü;;;;;
20264;ESC.ESPECIAL LENGUAJE MANITOS PINTADAS;Particular Subvencionado;ANIBAL PINTO 160;9;LOS SAUCES;ANDREINA GIOVANNA SALAZAR NÚÑEZ;INACORGAN@GMAIL.COM;45-2783486;ESC_LENGUAJE_MANITOSPINTADAS@HOTMAIL.CL;;;;ü;;;;;
20268;ESCUELA ESPECIAL DE LENGUAJE NIÑO JESUS;Particular Subvencionado;LORD COCRHANE 146;9;LONCOCHE;MAKARENA DENNISSE SALVO ALVEAR;MSALVO2004@ALU.UCT.CL;45-479046;ESCUELADELENGUAJE.LONCOCHE@GMAIL.COM;;;;ü;;;;;
20271;ESCUELA ESPECIAL DE LENGUAJE SUYAI VILCÚN;Particular Subvencionado;BERNARDO O´HIGGINS 772;9;VILCÚN;CAROLINA ANGÉLICA BRAVO JARA;DIRECCIONGENERAL@ESCUELASUYAI.CL;45-2562700;SUYAIESCUELAS@GMAIL.COM;;;;ü;;;;;
20273;ESCUELA ESPECIAL DE LENGUAJE ALUN SUYAI;Particular Subvencionado;CARLOS BOMBERO  ESCOBAR 145;9;PADRE LAS CASAS;MARGARITA SUSANA MIRANDA CUEVAS;MM.SUSANA@HOTMAIL.COM;45-2337455;ALUNSUYAI@GMAIL.COM;;;;ü;;;;;
20276;ESCUELA ESP. DE LENGUAJE MI MUNDO EN PALABRAS;Particular Subvencionado;AVENIDA BAQUEDANO 1175;9;LAUTARO;VIVIANA ELIZABETH JIMÉNEZ CARTES;VIVIANAELIZABETH.JIMENEZCARTES@GMAIL.COM;45-532812;VIVIANAELIZABETH.JIMENEZCARTES@GMAIL.COM;;;;ü;;;;;
20283;ESCUELA ESPECIAL DE LENGUAJE RAYEN;Particular Subvencionado;OHIGGINS 705;9;GORBEA;CHRISTIAN DANIEL BARTO MÉNDEZ;CHRISTIANBARTOM@GMAIL.COM;45-2492267;RAYENGORBEA@GMAIL.COM;;;;ü;;;;;
20284;ESCUELA ESPECIAL DE LENGUAJE WE LIWEN;Particular Subvencionado;SAN MARTIN 232;9;TOLTÉN;OMAR ALEJANDRO HERNÁNDEZ FIERRO;ESCUELAWELIWEN@GMAIL.COM;45-2920032;ESCUELAWELIWEN@GMAIL.COM;;;;ü;;;;;
20287;ESCUELA ESPECIAL AMPALU;Particular Subvencionado;CAUPOLICAN 889;9;ANGOL;MARÍA GORETTI DE LOS ANGELES MUÑOZ FUENTES;M.GORETTI80@GMAIL.COM;45-714759;ESAMPALU.ANGOL@GMAIL.COM;;ü;;;;;;;
20288;ESCUELA ESPECIAL `EL CASTILLO DEL LENGUAJE`;Particular Subvencionado;CALLE HOSCHTETTER 376;9;TEMUCO;PAULA ANDREA PIÑA FIGUEROA;PAULYPF@GMAIL.COM;45-2240398;ELCASTILLODELLENGUAJE@GMAIL.COM;;;;ü;;;;;
20291;ESCUELA ESPECIAL DE LENGUAJE RENACER;Particular Subvencionado;CENTENARIO 849;9;TEMUCO;PAULA ANDREA PIÑA FIGUEROA;DIRECTORA@ELCASTILLODELLENGUAJE.CL;45-737788;ESCUELALENGUAJERENACER@HOTMAIL.COM;;;;ü;;;;;
20292;ESCUELA ESPECIAL DE LENGUAJE LETRITAS;Particular Subvencionado;AVENIDA ANDALIEN 1086;8;CONCEPCIÓN;ANTONIA FERNANDA AGUILERA PINCHEIRA;ANTONIA.AGUILERAP@GMAIL.COM;41-2380667;ESCUELA.LETRITAS@GMAIL.COM;;;;ü;;;;;
20293;ESCUELA ESPECIAL DE LENGUAJE SEMILLITA;Particular Subvencionado;CONQUISTA - SECTOR CARAMPANGUE 96;8;ARAUCO;DANIELA ANDREA GARCÍA MUÑOZ;DANIELA.GARCIAA.M@GMAIL.COM;44-2854105;ESCUELA.SEMILLITA2014@GMAIL.COM;;;;ü;;;;;
20294;ESCUELA ESPECIAL N° 2458 KIMUNTUWE;Particular Subvencionado;RIO CLARO 2676;13;LAMPA;GUADALUPE PATRICIA ALCAYAGA ;CORPORACIONFORMANDOVIDAS@GMAIL.COM;02-25017378;PATYALCAYAGA.PROFE@GMAIL.COM;;;;ü;;;;;
20295;ESCUELA  ESPECIAL  N° 208 LA  RONDA;Particular Subvencionado;FRANCISCO  JAVIER KRUGGER 1982;13;BUIN;MÓNICA LIDIA CAROLINA PENTZ BARRERA;ESCUELADELENGUAJELARONDA@GMAIL.COM;02-24082159;ESCUELADELENGUAJELARONDA@GMAIL.COM;;;;ü;;;;;
20296;ESCUELA ESPECIAL DE LENGUAJE PEUMAYEN;Particular Subvencionado;ALICANTE 1116;8;HUALPÉN;CLAUDIA ANDREA ROSALES ZAPATA;PEUMAYEN.HUALPEN@GMAIL.COM;41-2429126;ADM.ESCUELAPEUMAYEN@GMAIL.COM;;;;ü;;;;;
20301;ESCUELA ESPECIAL DE TRANSTORNOS ESPECIFICOS DEL LENGUAJE ANDALUE;Particular Subvencionado;LINGUE ;4;LA SERENA;PILAR ELIZABETH ÁLVAREZ VARAS;ESCUELADELENGUAJEANDALUE@GMAIL.COM;-;ESCUELADEENGUAJEANDALUE@GMAIL.COM;;;;ü;;;;;
20302;ESCUELA ESPECIAL DE LENGUAJE KOLIBRI;Particular Subvencionado;ENRIQUE MORENO  ;4;LA SERENA;CAROLINA ANDREA OLIVARES PACHECO;CAROLAOLIVARES@HOTMAIL.COM;-;SILVIAQUINONESLOPEZ@YAHOO.ES;;;;ü;;;;;
20304;ESCUELA ESPECIAL Nº204 MONTEALTO;Particular Subvencionado;AVENIDA LOS LIBERTADORES 968;13;EL MONTE;MARIELA ESTER LEIVA ILABACA;MLEIVAILABACA@GMAIL.COM;2-28182942;MLEIVAILABACA@GMAIL.COM;;;;ü;;;;;
20306;ESCUELA ESPECIAL N°209 PEPITA DE SANDIA;Particular Subvencionado;AVENIDA GENERAL BAQUEDANO 1480;13;PAINE;PATRICIA ALEJANDRA MARTÍNEZ RIVEROS;PATRICIA_MARTINEZR@YAHOO.ES;02-8244910;ESCUELAPEPITADESANDIA@GMAIL.COM;;;;ü;;;;;
20313;ESC.ESP.RIGOBERTA MENCHÚ II;Particular Subvencionado;CALLE LOS PLATANOS 485;13;LA PINTANA;CLAUDIO ANTONIO MAUREIRA NAVARRO;ESCUELARIGOBERTAMENCHU@GMAIL.COM;02-28514287;ESCUELARIGOBERTAMENCHU@GMAIL.COM;;ü;;;;;;;
20314;ESCUELA ESPECIAL DE LENGUAJE SAN IGNACIO;Particular Subvencionado;AVDA. CABALIN - SARMIENTO 98;7;CURICÓ;DIEGO JESÚS MARTÍNEZ CAMPOS;ESCUELASANIGNACIOSARMIENTO@GMAIL.COM;75-2559224;ESCUELASANIGNACIOSARMIENTO@GMAIL.COM;;;;ü;;;;;
20315;ESCUELA DE LENGUAGE ELISA GOMEZ;Particular Subvencionado;VICTORIA 760;13;SAN BERNARDO;ANA MARÍA LUPERFINA VILLALOBOS GÓMEZ;ANITA.VILLAGO@GMAIL.COM;02-8584259;ESCUELALENGUAJEEG@GMAIL.COM;;;;ü;;;;;
20317;CENTRO EDUCACIONAL LUZ DE LUNA;Particular Subvencionado;CALLE BRISAS DEL MAIPO 3755;13;PUENTE ALTO;FABIOLA ANDREA RUBIO VALDEBENITO;FABIOLA.RUBIO.DIRECTORA@CORPORACIONMULTISENLUZ.CL;02-28425012;CENTROSEDUCACIONALESSG@GMAIL.COM;;ü;;ü;;;;;
20321;ESCUELA ESPECIAL N° 2462 SAN ANDRES DE BATUCO;Particular Subvencionado;CALLE GARIBARDI 1027;13;LAMPA;NANCY FABIOLA BRAVO ALARCÓN;FABIOLITABRAVO@GMAIL.COM;09-75395138;ESCSANANDRESDEBATUCO1@GMAIL.COM;;;;ü;;;;;
20323;CARIQUEO;Particular Subvencionado;SANTA LUISA 364;13;QUILICURA;MARISOL PAOLA GUTIÉRREZ AGUILERA;M.GUTIERREZ.A@HOTMAIL.COM;22-9802631;ESCUELADELENGUAJECARIQUEO@GMAIL.COM;;;;ü;;;;;
